"SP","SPEC","CONF","COMMONNAME","SCINAME","SPEC6","CONF6","lowername"
NA,"WTEA",NA,"White-tailed Eagle","Haliaeetus albicilla","HALALB",NA,"white tailed eagle"
NA,"STSE",NA,"Steller's Sea-Eagle","Haliaeetus pelagicus","HALPEL",NA,"stellers sea eagle"
NA,"MIKI",NA,"Mississippi Kite","Ictinia mississippiensis","ICTMIS",NA,"mississippi kite"
NA,"PLKI",NA,"Plumbeous Kite","Ictinia plumbea","ICTPLU",NA,"plumbeous kite"
NA,"BCHA",NA,"Black-collared Hawk","Busarellus nigricollis","BUSNIG",NA,"black collared hawk"
NA,"CRHA",NA,"Crane Hawk","Geranospiza caerulescens","GERCAE",NA,"crane hawk"
NA,"SNKI",NA,"Snail Kite","Rostrhamus sociabilis","ROSSOC",NA,"snail kite"
NA,"SBKI",NA,"Slender-billed Kite","Helicolestes hamatus","HELHAM",NA,"slender billed kite"
NA,"PLHA",NA,"Plumbeous Hawk","Cryptoleucopteryx plumbea","CRYPLU",NA,"plumbeous hawk"
NA,"COBH","*","Common Black Hawk","Buteogallus anthracinus","BUTANT",NA,"common black hawk"
NA,"CUBH","*","Cuban Black Hawk","Buteogallus gundlachii","BUTGUN",NA,"cuban black hawk"
NA,"SAHA",NA,"Savanna Hawk","Buteogallus meridionalis","BUTMER",NA,"savanna hawk"
NA,"GBLH","*","Great Black Hawk","Buteogallus urubitinga","BUTURU",NA,"great black hawk"
NA,"SOEA",NA,"Solitary Eagle","Buteogallus solitarius","BUGSOL","*","solitary eagle"
NA,"BAHA",NA,"Barred Hawk","Morphnarchus princeps","MORPRI",NA,"barred hawk"
NA,"ROHA",NA,"Roadside Hawk","Rupornis magnirostris","RUPMAG",NA,"roadside hawk"
NA,"HASH","*","Harris's Hawk","Parabuteo unicinctus","PARUNI",NA,"harriss hawk"
NA,"WTHA",NA,"White-tailed Hawk","Geranoaetus albicaudatus","GERALB",NA,"white tailed hawk"
NA,"WHHA",NA,"White Hawk","Pseudastur albicollis","PSEALB",NA,"white hawk"
NA,"SEHA",NA,"Semiplumbeous Hawk","Leucopternis semiplumbeus","LEUSEL","*","semiplumbeous hawk"
NA,"GRHA",NA,"Gray Hawk","Buteo plagiatus","BUTPLG","*","gray hawk"
NA,"GLHA",NA,"Gray-lined Hawk","Buteo nitidus","BUTNIT",NA,"gray lined hawk"
NA,"RSHA",NA,"Red-shouldered Hawk","Buteo lineatus","BUTLIN",NA,"red shouldered hawk"
NA,"RIHA",NA,"Ridgway's Hawk","Buteo ridgwayi","BUTRID",NA,"ridgways hawk"
NA,"BWHA",NA,"Broad-winged Hawk","Buteo platypterus","BUTPLT","*","broad winged hawk"
NA,"HAWH","*","Hawaiian Hawk","Buteo solitarius","BUESOL","*","hawaiian hawk"
NA,"STHA",NA,"Short-tailed Hawk","Buteo brachyurus","BUTBRA",NA,"short tailed hawk"
NA,"SWHA",NA,"Swainson's Hawk","Buteo swainsoni","BUTSWA",NA,"swainsons hawk"
NA,"ZTHA",NA,"Zone-tailed Hawk","Buteo albonotatus","BUTALB",NA,"zone tailed hawk"
NA,"RTHA",NA,"Red-tailed Hawk","Buteo jamaicensis","BUTJAM",NA,"red tailed hawk"
"+","HALH","*","Harlan's Hawk","Buteo jamaicensis harlani","BUTJHA",NA,"harlans hawk"
NA,"RLHA",NA,"Rough-legged Hawk","Buteo lagopus","BUTLAG",NA,"rough legged hawk"
NA,"FEHA",NA,"Ferruginous Hawk","Buteo regalis","BUTREG",NA,"ferruginous hawk"
"+","UNHA",NA,"Unidentified Hawk","Accipitridae (gen, sp)","ACCGSP",NA,"unidentified hawk"
NA,"BANO","*","Barn Owl","Tyto alba","TYTALB",NA,"barn owl"
NA,"AFOW",NA,"Ashy-faced Owl","Tyto glaucops","TYTGLA",NA,"ashy faced owl"
NA,"ORSO",NA,"Oriental Scops-Owl","Otus sunia","OTUSUN",NA,"oriental scops owl"
NA,"FLOW",NA,"Flammulated Owl","Psiloscops flammeolus","PSIFLA",NA,"flammulated owl"
NA,"WESO",NA,"Western Screech-Owl","Megascops kennicottii","MEGKEN",NA,"western screech owl"
NA,"EASO",NA,"Eastern Screech-Owl","Megascops asio","MEGASI",NA,"eastern screech owl"
NA,"BASO",NA,"Balsas Screech-Owl","Megascops seductus","MEGSED",NA,"balsas screech owl"
NA,"PASO",NA,"Pacific Screech-Owl","Megascops cooperi","MEGCOO",NA,"pacific screech owl"
NA,"WHSO",NA,"Whiskered Screech-Owl","Megascops trichopsis","MEGTRI",NA,"whiskered screech owl"
NA,"TRSO",NA,"Tropical Screech-Owl","Megascops choliba","MEGCHO",NA,"tropical screech owl"
NA,"BESO",NA,"Bearded Screech-Owl","Megascops barbarus","MEGBAR",NA,"bearded screech owl"
NA,"VESO",NA,"Vermiculated Screech-Owl","Megascops guatemalae","MEGGUA",NA,"vermiculated screech owl"
NA,"BSSO",NA,"Bare-shanked Screech-Owl","Megascops clarkii","MEGCLA",NA,"bare shanked screech owl"
NA,"PRSO",NA,"Puerto Rican Screech-Owl","Megascops nudipes","MEGNUD",NA,"puerto rican screech owl"
NA,"BLOW",NA,"Bare-legged Owl","Margarobyas lawrencii","MARLAW",NA,"bare legged owl"
NA,"CROW",NA,"Crested Owl","Lophostrix cristata","LOPCRI",NA,"crested owl"
NA,"SPEO","*","Spectacled Owl","Pulsatrix perspicillata","PULPER",NA,"spectacled owl"
NA,"GHOW",NA,"Great Horned Owl","Bubo virginianus","BUBVIR",NA,"great horned owl"
NA,"SNOW",NA,"Snowy Owl","Bubo scandiacus","BUBSCA",NA,"snowy owl"
NA,"NHOW",NA,"Northern Hawk Owl","Surnia ulula","SURULU",NA,"northern hawk owl"
NA,"NOPO",NA,"Northern Pygmy-Owl","Glaucidium gnoma","GLAGNO",NA,"northern pygmy owl"
NA,"CRPO",NA,"Costa Rican Pygmy-Owl","Glaucidium costaricanum","GLACOS",NA,"costa rican pygmy owl"
NA,"CAPO",NA,"Central American Pygmy-Owl","Glaucidium griseiceps","GLAGRI",NA,"central american pygmy owl"
NA,"TAPO",NA,"Tamaulipas Pygmy-Owl","Glaucidium sanchezi","GLASAN",NA,"tamaulipas pygmy owl"
NA,"CPYO","*","Colima Pygmy-Owl","Glaucidium palmarum","GLAPAL",NA,"colima pygmy owl"
NA,"FEPO",NA,"Ferruginous Pygmy-Owl","Glaucidium brasilianum","GLABRA",NA,"ferruginous pygmy owl"
NA,"CUPO",NA,"Cuban Pygmy-Owl","Glaucidium siju","GLASIJ",NA,"cuban pygmy owl"
NA,"ELOW",NA,"Elf Owl","Micrathene whitneyi","MICWHI",NA,"elf owl"
NA,"BUOW",NA,"Burrowing Owl","Athene cunicularia","ATHCUN",NA,"burrowing owl"
NA,"MOOW",NA,"Mottled Owl","Ciccaba virgata","CICVIR",NA,"mottled owl"
NA,"BLWO","*","Black-and-white Owl","Ciccaba nigrolineata","CICNIG",NA,"black and white owl"
NA,"SPOW",NA,"Spotted Owl","Strix occidentalis","STROCC",NA,"spotted owl"
"+","SBOH",NA,"Spotted x Barred Owl Hybrid","Strix occidentalis x varia","STROCV",NA,"spotted x barred owl hybrid"
NA,"BADO","*","Barred Owl","Strix varia","STRVAR",NA,"barred owl"
NA,"FUOW",NA,"Fulvous Owl","Strix fulvescens","STRFUL",NA,"fulvous owl"
NA,"GGOW",NA,"Great Gray Owl","Strix nebulosa","STRNEB",NA,"great gray owl"
NA,"LEOW",NA,"Long-eared Owl","Asio otus","ASIOTU",NA,"long eared owl"
NA,"STOW",NA,"Stygian Owl","Asio stygius","ASISTY",NA,"stygian owl"
NA,"SEOW",NA,"Short-eared Owl","Asio flammeus","ASIFLA",NA,"short eared owl"
NA,"STRO","*","Striped Owl","Pseudoscops clamator","PSECLA",NA,"striped owl"
NA,"JAOW",NA,"Jamaican Owl","Pseudoscops grammicus","PSEGRA",NA,"jamaican owl"
NA,"BOOW",NA,"Boreal Owl","Aegolius funereus","AEGFUN",NA,"boreal owl"
NA,"NSWO",NA,"Northern Saw-whet Owl","Aegolius acadicus","AEGACA",NA,"northern saw whet owl"
NA,"USWO",NA,"Unspotted Saw-whet Owl","Aegolius ridgwayi","AEGRID",NA,"unspotted saw whet owl"
NA,"NOBB","*","Northern Boobook","Ninox japonica","NINJAP",NA,"northern boobook"
"+","UNOW",NA,"Unidentified Owl","Strigidae (gen, sp)","STRGSP",NA,"unidentified owl"
NA,"CUTR",NA,"Cuban Trogon","Priotelus temnurus","PRITEM",NA,"cuban trogon"
NA,"HITR",NA,"Hispaniolan Trogon","Priotelus roseigaster","PRIROS",NA,"hispaniolan trogon"
NA,"LTTR",NA,"Lattice-tailed Trogon","Trogon clathratus","TROCLA",NA,"lattice tailed trogon"
NA,"STTR",NA,"Slaty-tailed Trogon","Trogon massena","TROMAS",NA,"slaty tailed trogon"
NA,"BTAT","*","Black-tailed Trogon","Trogon melanurus","TROMER","*","black tailed trogon"
NA,"BHTR",NA,"Black-headed Trogon","Trogon melanocephalus","TROMEC","*","black headed trogon"
NA,"CITR",NA,"Citreoline Trogon","Trogon citreolus","TROCIT",NA,"citreoline trogon"
NA,"WTAT","*","White-tailed Trogon","Trogon chionurus","TROCHI",NA,"white tailed trogon"
NA,"BATR",NA,"Baird's Trogon","Trogon bairdii","TROBAI",NA,"bairds trogon"
NA,"GATR",NA,"Gartered Trogon","Trogon caligatus","TROCAL",NA,"gartered trogon"
NA,"BTHT","*","Black-throated Trogon","Trogon rufus","TRORUS","*","black throated trogon"
NA,"ELTR",NA,"Elegant Trogon","Trogon elegans","TROELE",NA,"elegant trogon"
NA,"MOTR",NA,"Mountain Trogon","Trogon mexicanus","TROMEX",NA,"mountain trogon"
NA,"COTR",NA,"Collared Trogon","Trogon collaris","TROCOL",NA,"collared trogon"
NA,"OBTR",NA,"Orange-bellied Trogon","Trogon aurantiiventris","TROAUR",NA,"orange bellied trogon"
NA,"EAQU",NA,"Eared Quetzal","Euptilotis neoxenus","EUPNEO",NA,"eared quetzal"
NA,"GHQU",NA,"Golden-headed Quetzal","Pharomachrus auriceps","PHAAUC","*","golden headed quetzal"
NA,"REQU",NA,"Resplendent Quetzal","Pharomachrus mocinno","PHAMOC",NA,"resplendent quetzal"
NA,"EHOO","*","Eurasian Hoopoe","Upupa epops","UPUEPO",NA,"eurasian hoopoe"
NA,"CUTO",NA,"Cuban Tody","Todus multicolor","TODMUL",NA,"cuban tody"
NA,"BBTO",NA,"Broad-billed Tody","Todus subulatus","TODSUB",NA,"broad billed tody"
NA,"NBTO",NA,"Narrow-billed Tody","Todus angustirostris","TODANG",NA,"narrow billed tody"
NA,"JATO",NA,"Jamaican Tody","Todus todus","TODTOD",NA,"jamaican tody"
NA,"PRTO",NA,"Puerto Rican Tody","Todus mexicanus","TODMEX",NA,"puerto rican tody"
NA,"TOMO",NA,"Tody Motmot","Hylomanes momotula","HYLMOM",NA,"tody motmot"
NA,"BTMO",NA,"Blue-throated Motmot","Aspatha gularis","ASPGUL",NA,"blue throated motmot"
NA,"RCMO",NA,"Russet-crowned Motmot","Momotus mexicanus","MOMMEX",NA,"russet crowned motmot"
NA,"BCMO",NA,"Blue-capped Motmot","Momotus coeruliceps","MOMCOE",NA,"blue capped motmot"
NA,"LEMO",NA,"Lesson's Motmot","Momotus lessonii","MOMLES",NA,"lessons motmot"
NA,"WHMO",NA,"Whooping Motmot","Momotus subrufescens","MOMSUB",NA,"whooping motmot"
NA,"RMOT","*","Rufous Motmot","Baryphthengus martii","BARMAR",NA,"rufous motmot"
NA,"KBMO",NA,"Keel-billed Motmot","Electron carinatum","ELECAR",NA,"keel billed motmot"
NA,"BBMO",NA,"Broad-billed Motmot","Electron platyrhynchum","ELEPLA",NA,"broad billed motmot"
NA,"TBMO",NA,"Turquoise-browed Motmot","Eumomota superciliosa","EUMSUP",NA,"turquoise browed motmot"
NA,"RIKI",NA,"Ringed Kingfisher","Megaceryle torquata","MEGTOR",NA,"ringed kingfisher"
NA,"BEKI",NA,"Belted Kingfisher","Megaceryle alcyon","MEGALC",NA,"belted kingfisher"
NA,"AMKI",NA,"Amazon Kingfisher","Chloroceryle amazona","CHLAMA",NA,"amazon kingfisher"
NA,"GKIN","*","Green Kingfisher","Chloroceryle americana","CHLAME",NA,"green kingfisher"
NA,"GARK",NA,"Green-and-rufous Kingfisher","Chloroceryle inda","CHLIND",NA,"green and rufous kingfisher"
NA,"APKI",NA,"American Pygmy Kingfisher","Chloroceryle aenea","CHLAEN",NA,"american pygmy kingfisher"
NA,"BAPU",NA,"Barred Puffbird","Nystalus radiatus","NYSRAD",NA,"barred puffbird"
NA,"WNPU",NA,"White-necked Puffbird","Notharchus hyperrhynchus","NOTHYP",NA,"white necked puffbird"
NA,"BBPU",NA,"Black-breasted Puffbird","Notharchus pectoralis","NOTPEC",NA,"black breasted puffbird"
NA,"PIPU",NA,"Pied Puffbird","Notharchus tectus","NOTTEC",NA,"pied puffbird"
NA,"WWPU",NA,"White-whiskered Puffbird","Malacoptila panamensis","MALPAN",NA,"white whiskered puffbird"
NA,"LAMO",NA,"Lanceolated Monklet","Micromonacha lanceolata","MICLAN",NA,"lanceolated monklet"
NA,"GCNU",NA,"Gray-cheeked Nunlet","Nonnula frontalis","NONFRO",NA,"gray cheeked nunlet"
NA,"WFNU",NA,"White-fronted Nunbird","Monasa morphoeus","MONMOR",NA,"white fronted nunbird"
NA,"DBJA",NA,"Dusky-backed Jacamar","Brachygalba salmoni","BRASAL",NA,"dusky backed jacamar"
NA,"RTJA",NA,"Rufous-tailed Jacamar","Galbula ruficauda","GALRUF",NA,"rufous tailed jacamar"
NA,"GREJ","*","Great Jacamar","Jacamerops aureus","JACAUR",NA,"great jacamar"
NA,"SCBA",NA,"Spot-crowned Barbet","Capito maculicoronatus","CAPMAC",NA,"spot crowned barbet"
NA,"RHBA",NA,"Red-headed Barbet","Eubucco bourcierii","EUBBOU",NA,"red headed barbet"
NA,"PBBA",NA,"Prong-billed Barbet","Semnornis frantzii","SEMFRA",NA,"prong billed barbet"
NA,"NOET",NA,"Northern Emerald-Toucanet","Aulacorhynchus prasinus","AULPRA",NA,"northern emerald toucanet"
NA,"COAR",NA,"Collared Aracari","Pteroglossus torquatus","PTETOR",NA,"collared aracari"
NA,"FBAR",NA,"Fiery-billed Aracari","Pteroglossus frantzii","PTEFRA",NA,"fiery billed aracari"
NA,"YETO",NA,"Yellow-eared Toucanet","Selenidera spectabilis","SELSPT","*","yellow eared toucanet"
NA,"KBTO",NA,"Keel-billed Toucan","Ramphastos sulfuratus","RAMSUL",NA,"keel billed toucan"
NA,"YTTO",NA,"Yellow-throated Toucan","Ramphastos ambiguus","RAMAMB",NA,"yellow throated toucan"
NA,"EUWR",NA,"Eurasian Wryneck","Jynx torquilla","JYNTOR",NA,"eurasian wryneck"
NA,"OLPI",NA,"Olivaceous Piculet","Picumnus olivaceus","PICOLI",NA,"olivaceous piculet"
NA,"ANPI",NA,"Antillean Piculet","Nesoctites micromegas","NESMIC",NA,"antillean piculet"
NA,"LEWO",NA,"Lewis's Woodpecker","Melanerpes lewis","MELLEW",NA,"lewiss woodpecker"
NA,"GUWO",NA,"Guadeloupe Woodpecker","Melanerpes herminieri","MELHER",NA,"guadeloupe woodpecker"
NA,"PRWO",NA,"Puerto Rican Woodpecker","Melanerpes portoricensis","MENPOR","*","puerto rican woodpecker"
NA,"RHWO",NA,"Red-headed Woodpecker","Melanerpes erythrocephalus","MELERY",NA,"red headed woodpecker"
NA,"ACWO",NA,"Acorn Woodpecker","Melanerpes formicivorus","MELFOR",NA,"acorn woodpecker"
NA,"GNWO",NA,"Golden-naped Woodpecker","Melanerpes chrysauchen","MELCHC","*","golden naped woodpecker"
NA,"BCWO",NA,"Black-cheeked Woodpecker","Melanerpes pucherani","MELPUC",NA,"black cheeked woodpecker"
NA,"HIWO",NA,"Hispaniolan Woodpecker","Melanerpes striatus","MELSTR",NA,"hispaniolan woodpecker"
NA,"JAWO",NA,"Jamaican Woodpecker","Melanerpes radiolatus","MELRAD",NA,"jamaican woodpecker"
NA,"GCHW","*","Golden-cheeked Woodpecker","Melanerpes chrysogenys","MELCHG","*","golden cheeked woodpecker"
NA,"GBWO",NA,"Gray-breasted Woodpecker","Melanerpes hypopolius","MELHYI","*","gray breasted woodpecker"
NA,"YUWO",NA,"Yucatan Woodpecker","Melanerpes pygmaeus","MELPYG",NA,"yucatan woodpecker"
NA,"RCRW","*","Red-crowned Woodpecker","Melanerpes rubricapillus","MELRUB",NA,"red crowned woodpecker"
NA,"GIWO",NA,"Gila Woodpecker","Melanerpes uropygialis","MELURO",NA,"gila woodpecker"
NA,"HOWO",NA,"Hoffmann's Woodpecker","Melanerpes hoffmannii","MELHOF",NA,"hoffmanns woodpecker"
NA,"GFWO",NA,"Golden-fronted Woodpecker","Melanerpes aurifrons","MELAUR",NA,"golden fronted woodpecker"
NA,"RBWO",NA,"Red-bellied Woodpecker","Melanerpes carolinus","MELCAR",NA,"red bellied woodpecker"
NA,"WIWO",NA,"West Indian Woodpecker","Melanerpes superciliaris","MELSUP",NA,"west indian woodpecker"
NA,"WISA",NA,"Williamson's Sapsucker","Sphyrapicus thyroideus","SPHTHY",NA,"williamsons sapsucker"
NA,"YBSA",NA,"Yellow-bellied Sapsucker","Sphyrapicus varius","SPHVAR",NA,"yellow bellied sapsucker"
NA,"RNSA",NA,"Red-naped Sapsucker","Sphyrapicus nuchalis","SPHNUC",NA,"red naped sapsucker"
"+","RRSH",NA,"Red-naped X Red-breasted Saps. Hybrid","Sphyrapicus nuchalis x ruber","SPHNUR",NA,"red naped x red breasted saps. hybrid"
NA,"RBSA",NA,"Red-breasted Sapsucker","Sphyrapicus ruber","SPHRUB",NA,"red breasted sapsucker"
"+","UNSA",NA,"Unidentified Sapsucker","Sphyrapicus (sp)","SPHSPE",NA,"unidentified sapsucker"
NA,"CGWO",NA,"Cuban Green Woodpecker","Xiphidiopicus percussus","XIPPER",NA,"cuban green woodpecker"
NA,"ATTW",NA,"American Three-toed Woodpecker","Picoides dorsalis","PICDOR",NA,"american three toed woodpecker"
NA,"BBWO",NA,"Black-backed Woodpecker","Picoides arcticus","PICARC",NA,"black backed woodpecker"
NA,"GSWO",NA,"Great Spotted Woodpecker","Dendrocopos major","DENMAJ",NA,"great spotted woodpecker"
NA,"DOWO",NA,"Downy Woodpecker","Dryobates pubescens","DRYPUB",NA,"downy woodpecker"
NA,"NUWO",NA,"Nuttall's Woodpecker","Dryobates nuttallii","DRYNUT",NA,"nuttalls woodpecker"
NA,"LBWO",NA,"Ladder-backed Woodpecker","Dryobates scalaris","DRYSCA",NA,"ladder backed woodpecker"
NA,"RCWO",NA,"Red-cockaded Woodpecker","Dryobates borealis","DRYBOR",NA,"red cockaded woodpecker"
NA,"HAWO",NA,"Hairy Woodpecker","Dryobates villosus","DRYVIL",NA,"hairy woodpecker"
NA,"WHWO",NA,"White-headed Woodpecker","Dryobates albolarvatus","DRYALB",NA,"white headed woodpecker"
NA,"SMBW","*","Smoky-brown Woodpecker","Dryobates fumigatus","DRYFUM",NA,"smoky brown woodpecker"
NA,"ARWO",NA,"Arizona Woodpecker","Dryobates arizonae","DRYARI",NA,"arizona woodpecker"
NA,"STCW","*","Strickland's Woodpecker","Dryobates stricklandi","DRYSTR",NA,"stricklands woodpecker"
NA,"RRWO",NA,"Red-rumped Woodpecker","Dryobates kirkii","DRYKIR",NA,"red rumped woodpecker"
NA,"RWWO",NA,"Rufous-winged Woodpecker","Piculus simplex","PICSIM",NA,"rufous winged woodpecker"
NA,"SCHW","*","Stripe-cheeked Woodpecker","Piculus callopterus","PICCAL",NA,"stripe cheeked woodpecker"
NA,"GGWO",NA,"Golden-green Woodpecker","Piculus chrysochloros","PICCHR",NA,"golden green woodpecker"
NA,"GOWO",NA,"Golden-olive Woodpecker","Colaptes rubiginosus","COLRUB",NA,"golden olive woodpecker"
NA,"GRCW","*","Gray-crowned Woodpecker","Colaptes auricularis","COLAUC","*","gray crowned woodpecker"
NA,"SBWP","*","Spot-breasted Woodpecker","Colaptes punctigula","COLPUN",NA,"spot breasted woodpecker"
NA,"NOFL",NA,"Northern Flicker","Colaptes auratus","COLAUT","*","northern flicker"
"+","YSFL",NA,"Yellow-shafted Flicker","Colaptes auratus auratus","COLAAU",NA,"yellow shafted flicker"
"+","NFIN",NA,"Northern Flicker Intergrade","Colaptes auratus auratus x cafer","COLAAC",NA,"northern flicker intergrade"
"+","RSFL",NA,"Red-shafted Flicker","Colaptes auratus cafer","COLACA",NA,"red shafted flicker"
NA,"GIFL",NA,"Gilded Flicker","Colaptes chrysoides","COLCHR",NA,"gilded flicker"
NA,"FEFL",NA,"Fernandina's Flicker","Colaptes fernandinae","COLFER",NA,"fernandinas flicker"
NA,"CIWO",NA,"Cinnamon Woodpecker","Celeus loricatus","CELLOR",NA,"cinnamon woodpecker"
NA,"CCOW","*","Chestnut-colored Woodpecker","Celeus castaneus","CELCAS",NA,"chestnut colored woodpecker"
NA,"LIWO",NA,"Lineated Woodpecker","Dryocopus lineatus","DRYLIN",NA,"lineated woodpecker"
NA,"PIWO",NA,"Pileated Woodpecker","Dryocopus pileatus","DRYPIL",NA,"pileated woodpecker"
NA,"CBWO",NA,"Crimson-bellied Woodpecker","Campephilus haematogaster","CAMHAE",NA,"crimson bellied woodpecker"
NA,"CCRW","*","Crimson-crested Woodpecker","Campephilus melanoleucos","CAMMEL",NA,"crimson crested woodpecker"
NA,"PBIW","*","Pale-billed Woodpecker","Campephilus guatemalensis","CAMGUA",NA,"pale billed woodpecker"
NA,"IBWO",NA,"Ivory-billed Woodpecker","Campephilus principalis","CAMPRI",NA,"ivory billed woodpecker"
NA,"IMWO",NA,"Imperial Woodpecker","Campephilus imperialis","CAMIMP",NA,"imperial woodpecker"
"+","UNWO",NA,"Unidentified Woodpecker","Picinae (gen, sp)","PICGSP",NA,"unidentified woodpecker"
NA,"LAFA",NA,"Laughing Falcon","Herpetotheres cachinnans","HERCAC",NA,"laughing falcon"
NA,"BAFF",NA,"Barred Forest-Falcon","Micrastur ruficollis","MICRUF",NA,"barred forest falcon"
NA,"SBFF",NA,"Slaty-backed Forest-Falcon","Micrastur mirandollei","MICMIR",NA,"slaty backed forest falcon"
NA,"COFF",NA,"Collared Forest-Falcon","Micrastur semitorquatus","MICSEM",NA,"collared forest falcon"
NA,"RTCA",NA,"Red-throated Caracara","Ibycter americanus","IBYAME",NA,"red throated caracara"
NA,"CRCA",NA,"Crested Caracara","Caracara cheriway","CARCHE",NA,"crested caracara"
NA,"GUCA",NA,"Guadalupe Caracara","Caracara lutosa","CARLUT",NA,"guadalupe caracara"
NA,"YHCA",NA,"Yellow-headed Caracara","Milvago chimachima","MILCHI",NA,"yellow headed caracara"
NA,"EUKE",NA,"Eurasian Kestrel","Falco tinnunculus","FALTIN",NA,"eurasian kestrel"
NA,"AMKE",NA,"American Kestrel","Falco sparverius","FALSPA",NA,"american kestrel"
NA,"RFFA",NA,"Red-footed Falcon","Falco vespertinus","FALVES",NA,"red footed falcon"
NA,"MERL",NA,"Merlin","Falco columbarius","FALCOL",NA,"merlin"
NA,"EHOB","*","Eurasian Hobby","Falco subbuteo","FALSUB",NA,"eurasian hobby"
NA,"APFA",NA,"Aplomado Falcon","Falco femoralis","FALFEM",NA,"aplomado falcon"
NA,"BAFA",NA,"Bat Falcon","Falco rufigularis","FALRUF",NA,"bat falcon"
NA,"OBFA",NA,"Orange-breasted Falcon","Falco deiroleucus","FALDEI",NA,"orange breasted falcon"
NA,"GYRF",NA,"Gyrfalcon","Falco rusticolus","FALRUS",NA,"gyrfalcon"
NA,"PEFA",NA,"Peregrine Falcon","Falco peregrinus","FALPER",NA,"peregrine falcon"
NA,"PRFA",NA,"Prairie Falcon","Falco mexicanus","FALMEX",NA,"prairie falcon"
NA,"PAIP","*","Painted Parakeet","Pyrrhura picta","PYRPIC",NA,"painted parakeet"
NA,"SWPA",NA,"Sulphur-winged Parakeet","Pyrrhura hoffmanni","PYRHOF",NA,"sulphur winged parakeet"
NA,"MOPA",NA,"Monk Parakeet","Myiopsitta monachus","MYIMON",NA,"monk parakeet"
NA,"CAPA",NA,"Carolina Parakeet","Conuropsis carolinensis","CONCAL","*","carolina parakeet"
NA,"OTPA",NA,"Olive-throated Parakeet","Eupsittula nana","EUPNAN",NA,"olive throated parakeet"
NA,"OFPA",NA,"Orange-fronted Parakeet","Eupsittula canicularis","EUPCAN",NA,"orange fronted parakeet"
NA,"BTPA",NA,"Brown-throated Parakeet","Eupsittula pertinax","EUPPER",NA,"brown throated parakeet"
NA,"NAPA",NA,"Nanday Parakeet","Aratinga nenday","ARANEN",NA,"nanday parakeet"
NA,"CFMA",NA,"Chestnut-fronted Macaw","Ara severus","ARASEV",NA,"chestnut fronted macaw"
NA,"MIMA",NA,"Military Macaw","Ara militaris","ARAMIL",NA,"military macaw"
NA,"GGMA",NA,"Great Green Macaw","Ara ambiguus","ARAAMB",NA,"great green macaw"
NA,"RAGM",NA,"Red-and-green Macaw","Ara chloropterus","ARACHL",NA,"red and green macaw"
NA,"SCMA",NA,"Scarlet Macaw","Ara macao","ARAMAC",NA,"scarlet macaw"
NA,"CUBM","*","Cuban Macaw","Ara tricolor","ARATRI",NA,"cuban macaw"
NA,"BAYM",NA,"Blue-and-yellow Macaw","Ara ararauna","ARAARA",NA,"blue and yellow macaw"
NA,"GREP","*","Green Parakeet","Psittacara holochlorus","PSIHOL",NA,"green parakeet"
NA,"PACP","*","Pacific Parakeet","Psittacara strenuus","PSISTR",NA,"pacific parakeet"
NA,"CFPA",NA,"Crimson-fronted Parakeet","Psittacara finschi","PSIFIN",NA,"crimson fronted parakeet"
NA,"CPAK","*","Cuban Parakeet","Psittacara euops","PSIEUO",NA,"cuban parakeet"
NA,"PRPK","*","Puerto Rican Parakeet","Psittacara maugei","PSIMAU",NA,"puerto rican parakeet"
NA,"HPAK","*","Hispaniolan Parakeet","Psittacara chloropterus","PSICHL",NA,"hispaniolan parakeet"
NA,"MIPA",NA,"Mitred Parakeet","Psittacara mitratus","PSIMIT",NA,"mitred parakeet"
NA,"TBPA",NA,"Thick-billed Parrot","Rhynchopsitta pachyrhyncha","RHYPAC",NA,"thick billed parrot"
NA,"MFPA",NA,"Maroon-fronted Parrot","Rhynchopsitta terrisi","RHYTER",NA,"maroon fronted parrot"
NA,"BAPA",NA,"Barred Parakeet","Bolborhynchus lineola","BOLLIN",NA,"barred parakeet"
